school_name,number_applicants,acceptance_rate,sat_quartile_range,act_quartile_range,sat_lower_quartile,sat_upper_quartile
Carroll College,2709,0.7829999999999999,1070-1270,22-28,1070.0,1270.0
College of Charleston,11783,0.7829999999999999,1080-1260,22-28,1080.0,1260.0
University of Colorado—​Boulder,40740,0.784,1140-1350,25-31,1140.0,1350.0
Elon University,10500,0.784,1160-1320,25-30,1160.0,1320.0
Seattle University,7968,0.785,1160-1330,24-30,1160.0,1330.0
University of Texas—​Dallas,14327,0.7859999999999999,1240-1460,26-33,1240.0,1460.0
East Carolina,19234,0.787,1030-1190,19-24,1030.0,1190.0
University of Tennessee,21764,0.7879999999999999,1150-1330,24-30,1150.0,1330.0
University of Texas Arlington,12335,0.795,1060-1260,20-26,1060.0,1260.0
Pacific Lutheran University,3740,0.7979999999999999,1070-1270,20-28,1070.0,1270.0
Western Michigan,17698,0.799,1000-1210,19-26,1000.0,1210.0
Loyola University Maryland,10077,0.802,1143-1320,25-30,1143.0,1320.0
Miami University—​Oxford,28920,0.804,1210-1410,26-31,1210.0,1410.0
Goucher College,3154,0.804,1040-1290,22-29,1040.0,1290.0
University of Oklahoma,15673,0.804,1130-1310,23-29,1130.0,1310.0
Auburn University,20205,0.807,1150-1320,25-31,1150.0,1320.0
University of Nevada—​Las Vegas,12720,0.807,1030-1250,19-25,1030.0,1250.0
Boise State,10788,0.8079999999999999,960-1180,21-26,960.0,1180.0
St. Mary's College of California,6069,0.81,1070-1240,22-28,1070.0,1240.0
Siena College,7728,0.8109999999999999,1070-1280,22-28,1070.0,1280.0
University of North Dakota,4964,0.8109999999999999,1010-1250,20-26,1010.0,1250.0
Texas State University,23583,0.8109999999999999,1010-1180,19.3-25.3,1010.0,1180.0
Colorado State University,28319,0.8140000000000001,1070-1290,23-29,1070.0,1290.0
University of Memphis,15381,0.8140000000000001,1010-1230,19-26,1010.0,1230.0
West Virginia University,18639,0.816,1050-1240,21-27,1050.0,1240.0
University of Oregon,27358,0.816,1100-1310,22-28,1100.0,1310.0
University of St. Thomas (MN),6819,0.8190000000000001,1130-1380,24-29,1130.0,1380.0
St. Mary's College (IN),1862,0.8190000000000001,1050-1260,22-28,1050.0,1260.0
Illinois State,16151,0.8190000000000001,1020-1220,20-26,1020.0,1220.0
Ohio University,24179,0.821,1050-1260,21-26,1050.0,1260.0
California State University--Sacramento,27576,0.823,940-1140,16-22,940.0,1140.0
University of North Carolina—​Greensboro,9972,0.8240000000000001,1000-1160,19-24,1000.0,1160.0
University of Iowa,25928,0.826,1130-1340,22-29,1130.0,1340.0
St. Michael's College,4040,0.826,1140-1320,25-29,1140.0,1320.0
University of Alaska Anchorage,3673,0.83,1020-1220,17-24,1020.0,1220.0
Marquette University,15078,0.83,1120-1320,24-29,1120.0,1320.0
College of St. Benedict,1931,0.8340000000000001,990-1210,22-27,990.0,1210.0
Oregon State University,15786,0.836,1080-1320,21-28,1080.0,1320.0
The Catholic University of America,6096,0.8370000000000001,1140-1320,24-30,1140.0,1320.0
University of Puget Sound,5182,0.838,1150-1370,25-30,1150.0,1370.0
University of New Hampshire,18040,0.84,1070-1270,22-28,1070.0,1270.0
Missouri University of Science & Technology,4333,0.8420000000000001,1180-1380,25-31,1180.0,1380.0
St. Mary's College of Maryland,1621,0.843,1060-1290,21-29,1060.0,1290.0
University of Arizona,40854,0.846,1120-1350,21-29,1120.0,1350.0
Susquehanna University,4863,0.848,1100-1290,22-28,1100.0,1290.0
Arizona State University—​Tempe,26869,0.848,1130-1360,22-29,1130.0,1360.0
Wheaton College (IL),1889,0.848,1220-1440,26-32,1220.0,1440.0
Northern Arizona,36855,0.85,1030-1230,19-25,1030.0,1230.0
Washington and Jefferson College,2722,0.852,1090-1280,22-28,1090.0,1280.0
Kent State,16308,0.855,1040-1230,20-26,1040.0,1230.0
Mills College,1003,0.855,1008-1240,21-29,1008.0,1240.0
Hope College,3748,0.857,1130-1330,23-31,1130.0,1330.0
Valparaiso University,5491,0.858,1070-1290,22-29,1070.0,1290.0
George Mason University,19554,0.867,1110-1320,24-30,1110.0,1320.0
Old Dominion,13335,0.87,990-1200,18-24,990.0,1200.0
Missouri State,7581,0.879,1040-1240,21-27,1040.0,1240.0
University of Wisconsin Milwaukee,8280,0.885,1000-1398,20-25,1000.0,1398.0
Transylvania University,1702,0.887,1100-1310,24-30,1100.0,1310.0
University of Maine,13118,0.902,1050-1260,21-27,1050.0,1260.0
